Name,Maths,Reading,Writing,Parents Name,Parents Education,Sleep Time,Social Media,Food,Test Prep,Gender,Parental Involvement Insights,Overall Performance,Parent Education Level,Sleep Category,Social Media Category,Normalized Maths,Normalized Reading,Normalized Writing,Performance Category
"James,83,93,95,Mechelle Stoneman,4.0,6,0.0,1,0,1,""Data about parent involvement in education and school choice from kindergarten to high school are currently collected in the Parent and Family Involvement in Education (PFI). The PFI survey collects data about students who are enrolled in kindergarten through grade 12 and asks questions about school choice and various aspects of parent involvement in education, such as help with homework, family activities, and parent engagement in schools. Parents are the respondents."",90.33333333333331,Medium,Insufficient,Low,0.8300000000000001,0.9156626506024098,0.9444444444444444,Excellent"
John,61,68,66,Tyesha Freitag,3.0,7,0.0,2,0,1,Learn More: Go to About the NHES,65.0,Medium,Optimal,Low,0.61,0.6144578313253013,0.6222222222222222,Average
Robert,76,70,69,Dean Stoecker,1.0,8,0.0,1,1,1,This First Look report introduces new National Household Education Survey (NHES) survey data that presents findings from the Parent and Family Involvement in Education Survey of the National Household Education Surveys Program of 2023 (PFI-NHES:2023).,71.66666666666667,Low,Optimal,Low,0.76,0.6385542168674699,0.6555555555555556,Average
"Michael,49,51,43,Annelle Pickney,2.0,7,0.0,1,0,1,""This data point explores the types of schools that children attend, whether parents consider more than one school for their child, and the reasons parents report as being important when they consider schools for their children."",47.66666666666666,Low,Optimal,Low,0.49,0.4096385542168674,0.3666666666666667,Poor"
William,24,38,27,Margareta Tacy,1.0,6,0.0,2,0,1,This report presents data about various aspects of parent involvement in education and reasons for choosing the childƒ??s school. These data represent circumstances before the implementation of coronavirus pandemic restrictions.,29.666666666666668,Low,Insufficient,Low,0.24,0.2530120481927711,0.1888888888888888,Poor
"Mary,35,55,60,Meghann Placencia,1.0,8,0.0,2,1,0,""This report uses data from multiple surveys to describe the landscape of school choice. The report discusses the changes over time in enrollment in traditional public, public charter, and private schools, as well as changes in the number of students who were homeschooled. It includes information on the characteristics of students enrolled in public and private schools, as well as characteristics of students who were homeschooled."",50.0,Low,Optimal,Low,0.35,0.4578313253012048,0.5555555555555556,Poor"
David,58,61,52,Kendrick Cieslak,2.0,7,0.0,2,0,1,NCES Annual Reports,57.0,Low,Optimal,Low,0.58,0.5301204819277109,0.4666666666666667,Average
Joseph,61,73,63,Polly Isenberg,2.0,8,0.0,1,0,1,The NCES Annual Reports and Information program produces several reports each year that draw from over 25 surveys by NCES and other government agencies. Many of these reports include information on enrollment in public charter schools and private schools. The Digest of Education Statistics includes additional information on school choice and parent involvement.,65.66666666666667,Low,Optimal,Low,0.61,0.674698795180723,0.5888888888888889,Average
Richard,69,76,74,Evelyne Racicot,2.0,6,0.0,1,1,1,Longitudinal Studies,73.0,Low,Insufficient,Low,0.6900000000000001,0.710843373493976,0.7111111111111111,Average
"Charles,67,72,67,Augustus Delaune,2.0,7,0.0,1,1,1,""NCES has a series of High School, Middle Grades, and Early Childhood longitudinal studies that track studentsƒ?? development, achievement, and learning over time. "",68.66666666666667,Low,Optimal,Low,0.67,0.6626506024096386,0.6333333333333333,Average"
Thomas,79,73,67,Shawanda Client,3.0,8,0.0,1,0,1,State Education Practices (School Choice),73.0,Medium,Optimal,Low,0.79,0.674698795180723,0.6333333333333333,Average
"Christopher,72,80,75,Loura Coffield,2.0,7,0.0,1,0,1,""This website provides an overview of state policies and practices across many areas of education, including policies on charter schools, which operate with varying degrees of independence from state education agencies in exchange for increased accountability for student performance."",75.66666666666667,Low,Optimal,Low,0.72,0.7590361445783133,0.7222222222222222,Excellent"
Daniel,62,61,57,Lorriane Machin,3.0,8,0.0,1,0,1,Parent Involvement Toolkit,60.0,Medium,Optimal,Low,0.62,0.5301204819277109,0.5222222222222221,Average
"Matthew,77,94,95,Lacey Osier,4.0,6,0.0,1,1,1,""The Institute of Education Sciences Toolkit of Resources for Engaging Families and the Community as Partners in Education is a four-part resource that brings together research, promising practices, and useful tools and resources to guide educators in strengthening partnerships with families and community members to support student learning. "",88.66666666666667,Medium,Insufficient,Low,0.77,0.927710843373494,0.9444444444444444,Excellent"
Elizabeth,75,74,66,Nicki Malchow,2.0,8,0.0,2,0,0,Back to Top ,71.66666666666667,Low,Optimal,Low,0.75,0.6867469879518073,0.6222222222222222,Average
"Patricia,87,74,76,Sidney Bodiford,2.0,7,0.0,1,0,0,""Data about parent involvement in education and school choice from kindergarten to high school are currently collected in the Parent and Family Involvement in Education (PFI). The PFI survey collects data about students who are enrolled in kindergarten through grade 12 and asks questions about school choice and various aspects of parent involvement in education, such as help with homework, family activities, and parent engagement in schools. Parents are the respondents."",79.0,Low,Optimal,Low,0.87,0.6867469879518073,0.7333333333333333,Excellent"
Jennifer,52,65,69,Barbie Cun,4.0,6,0.0,1,0,0,Learn More: Go to About the NHES,62.0,Medium,Insufficient,Low,0.52,0.5783132530120483,0.6555555555555556,Average
Anthony,66,57,52,Elden Hanshaw,3.0,9,0.0,1,0,1,This First Look report introduces new National Household Education Survey (NHES) survey data that presents findings from the Parent and Family Involvement in Education Survey of the National Household Education Surveys Program of 2023 (PFI-NHES:2023).,58.333333333333336,Medium,Oversleep,Low,0.66,0.4819277108433735,0.4666666666666667,Average
"George,63,78,80,Blossom Loggins,3.0,7,0.0,1,1,1,""This data point explores the types of schools that children attend, whether parents consider more than one school for their child, and the reasons parents report as being important when they consider schools for their children."",73.66666666666667,Medium,Optimal,Low,0.63,0.7349397590361446,0.7777777777777778,Average"
Linda,46,58,57,Joseph Dennie,2.0,8,0.0,1,0,0,This report presents data about various aspects of parent involvement in education and reasons for choosing the childƒ??s school. These data represent circumstances before the implementation of coronavirus pandemic restrictions.,53.66666666666666,Low,Optimal,Low,0.46,0.4939759036144578,0.5222222222222221,Average
"Barbara,59,71,70,Pattie Markley,3.0,9,0.0,1,0,0,""This report uses data from multiple surveys to describe the landscape of school choice. The report discusses the changes over time in enrollment in traditional public, public charter, and private schools, as well as changes in the number of students who were homeschooled. It includes information on the characteristics of students enrolled in public and private schools, as well as characteristics of students who were homeschooled."",66.66666666666667,Medium,Oversleep,Low,0.59,0.6506024096385543,0.6666666666666666,Average"
Donald,61,72,70,Genevieve Spahn,4.0,7,0.0,1,0,1,NCES Annual Reports,67.66666666666667,Medium,Optimal,Low,0.61,0.6626506024096386,0.6666666666666666,Average
Paul,63,61,61,Luciano Jaworski,2.0,8,0.0,1,0,1,The NCES Annual Reports and Information program produces several reports each year that draw from over 25 surveys by NCES and other government agencies. Many of these reports include information on enrollment in public charter schools and private schools. The Digest of Education Statistics includes additional information on school choice and parent involvement.,61.66666666666666,Low,Optimal,Low,0.63,0.5301204819277109,0.5666666666666667,Average
Mark,42,66,69,Noe Mahler,3.0,9,0.0,2,1,1,Longitudinal Studies,59.0,Medium,Oversleep,Low,0.42,0.5903614457831325,0.6555555555555556,Average
"Andrew,59,62,61,Karri Bransford,3.0,5,0.0,2,0,1,""NCES has a series of High School, Middle Grades, and Early Childhood longitudinal studies that track studentsƒ?? development, achievement, and learning over time. "",60.66666666666666,Medium,Insufficient,Low,0.59,0.5421686746987953,0.5666666666666667,Average"
Steven,80,90,89,Larae Bonney,3.0,7,0.0,1,0,1,State Education Practices (School Choice),86.33333333333333,Medium,Optimal,Low,0.8,0.8795180722891568,0.8777777777777778,Excellent
"Kenneth,58,62,59,Sharita Fierros,2.0,8,0.0,1,0,1,""This website provides an overview of state policies and practices across many areas of education, including policies on charter schools, which operate with varying degrees of independence from state education agencies in exchange for increased accountability for student performance."",59.66666666666666,Low,Optimal,Low,0.58,0.5421686746987953,0.5444444444444444,Average"
Edward,85,84,78,Frederica Perla,1.0,9,0.0,1,1,1,Parent Involvement Toolkit,82.33333333333333,Low,Oversleep,Low,0.85,0.8072289156626508,0.7555555555555555,Excellent
"Joshua,52,58,58,Mara Elder,3.0,7,0.0,1,0,1,""The Institute of Education Sciences Toolkit of Resources for Engaging Families and the Community as Partners in Education is a four-part resource that brings together research, promising practices, and useful tools and resources to guide educators in strengthening partnerships with families and community members to support student learning. "",56.0,Medium,Optimal,Low,0.52,0.4939759036144578,0.5333333333333333,Average"
Margaret,27,34,32,Enola Volz,1.0,8,0.0,2,0,0,Back to Top ,31.0,Low,Optimal,Low,0.27,0.2048192771084337,0.2444444444444444,Poor
"Brian,59,60,58,Leslie Mccardell,3.0,7,0.0,1,0,1,""Data about parent involvement in education and school choice from kindergarten to high school are currently collected in the Parent and Family Involvement in Education (PFI). The PFI survey collects data about students who are enrolled in kindergarten through grade 12 and asks questions about school choice and various aspects of parent involvement in education, such as help with homework, family activities, and parent engagement in schools. Parents are the respondents."",59.0,Medium,Optimal,Low,0.59,0.5180722891566265,0.5333333333333333,Average"
Kevin,49,58,60,Gina Coria,4.0,5,0.0,2,1,1,Learn More: Go to About the NHES,55.66666666666666,Medium,Insufficient,Low,0.49,0.4939759036144578,0.5555555555555556,Average
Jessica,69,58,53,Marietta Taing,2.0,6,0.0,1,1,0,This First Look report introduces new National Household Education Survey (NHES) survey data that presents findings from the Parent and Family Involvement in Education Survey of the National Household Education Surveys Program of 2023 (PFI-NHES:2023).,60.0,Low,Insufficient,Low,0.6900000000000001,0.4939759036144578,0.4777777777777778,Average
"Sarah,61,66,61,Karlyn Buchholtz,4.0,7,0.0,2,0,0,""This data point explores the types of schools that children attend, whether parents consider more than one school for their child, and the reasons parents report as being important when they consider schools for their children."",62.66666666666666,Medium,Optimal,Low,0.61,0.5903614457831325,0.5666666666666667,Average"
Susan,44,64,58,Herma Renken,1.0,8,0.0,2,0,0,This report presents data about various aspects of parent involvement in education and reasons for choosing the childƒ??s school. These data represent circumstances before the implementation of coronavirus pandemic restrictions.,55.333333333333336,Low,Optimal,Low,0.44,0.5662650602409639,0.5333333333333333,Average
"Timothy,73,84,85,Gertrud Gillispie,1.0,5,0.0,1,0,1,""This report uses data from multiple surveys to describe the landscape of school choice. The report discusses the changes over time in enrollment in traditional public, public charter, and private schools, as well as changes in the number of students who were homeschooled. It includes information on the characteristics of students enrolled in public and private schools, as well as characteristics of students who were homeschooled."",80.66666666666667,Low,Insufficient,Low,0.73,0.8072289156626508,0.8333333333333334,Excellent"
Dorothy,84,77,71,Kelsie Lavoie,3.0,6,0.0,1,0,0,NCES Annual Reports,77.33333333333333,Medium,Insufficient,Low,0.84,0.7228915662650603,0.6777777777777778,Excellent
Jason,45,73,70,Selena Jenney,3.0,9,0.0,2,1,1,The NCES Annual Reports and Information program produces several reports each year that draw from over 25 surveys by NCES and other government agencies. Many of these reports include information on enrollment in public charter schools and private schools. The Digest of Education Statistics includes additional information on school choice and parent involvement.,62.66666666666666,Medium,Oversleep,Low,0.45,0.674698795180723,0.6666666666666666,Average
Ronald,74,74,72,Teri Schooley,1.0,7,0.0,1,0,1,Longitudinal Studies,73.33333333333333,Low,Optimal,Low,0.74,0.6867469879518073,0.6888888888888889,Average
"Helen,82,97,96,Lizette Campana,3.0,6,0.0,1,1,0,""NCES has a series of High School, Middle Grades, and Early Childhood longitudinal studies that track studentsƒ?? development, achievement, and learning over time. "",91.66666666666669,Medium,Insufficient,Low,0.8200000000000001,0.9638554216867472,0.9555555555555556,Excellent"
Ryan,59,70,73,Mayra Luby,4.0,9,0.0,1,0,1,State Education Practices (School Choice),67.33333333333333,Medium,Oversleep,Low,0.59,0.6385542168674699,0.7,Average
"Jeffrey,46,43,41,Luisa Finneran,2.0,7,0.0,2,0,1,""This website provides an overview of state policies and practices across many areas of education, including policies on charter schools, which operate with varying degrees of independence from state education agencies in exchange for increased accountability for student performance."",43.333333333333336,Low,Optimal,Low,0.46,0.3132530120481928,0.3444444444444444,Poor"
Karen,80,90,82,Genoveva Herrod,1.0,8,0.0,1,0,0,Parent Involvement Toolkit,84.0,Low,Optimal,Low,0.8,0.8795180722891568,0.7999999999999999,Excellent
"Nancy,85,95,100,Tandra Toon,2.0,9,0.0,2,1,0,""The Institute of Education Sciences Toolkit of Resources for Engaging Families and the Community as Partners in Education is a four-part resource that brings together research, promising practices, and useful tools and resources to guide educators in strengthening partnerships with families and community members to support student learning. "",93.33333333333331,Low,Oversleep,Low,0.85,0.9397590361445785,1.0,Excellent"
Betty,71,83,77,Zoe Mangrum,1.0,7,0.0,1,0,0,Back to Top ,77.0,Low,Optimal,Low,0.71,0.7951807228915663,0.7444444444444445,Excellent
"Lisa,66,64,62,Marquerite Salaam,4.0,8,0.0,1,0,0,""Data about parent involvement in education and school choice from kindergarten to high school are currently collected in the Parent and Family Involvement in Education (PFI). The PFI survey collects data about students who are enrolled in kindergarten through grade 12 and asks questions about school choice and various aspects of parent involvement in education, such as help with homework, family activities, and parent engagement in schools. Parents are the respondents."",64.0,Medium,Optimal,Low,0.66,0.5662650602409639,0.5777777777777777,Average"
Jacob,80,86,83,Alva Fonte,2.0,9,0.0,1,0,1,Learn More: Go to About the NHES,83.0,Low,Oversleep,Low,0.8,0.8313253012048193,0.8111111111111111,Excellent
